signal,target,mrate5,mrate10,mrate_avg,mrate_diff,red_v_rate3,red_v_rate5,red_v_rate10,rate_diff_5_10,rate_diff_3_10,rate_sum_5_10,rate_sum_3_10,ma10_20,ma5_10,ma5_20,ma_desc,ma_score
1.0,2,0.2,0.4,0.3,-0.2,36.8682,17.8367,35.0953,-17.2585,1.773,53.0719,25.676,-1.3288,-2.0639,-3.3653,-1.6918,0.0
1.0,2,0.6,0.4,0.5,0.2,57.3706,55.0059,36.2159,18.79,21.1547,45.4004,27.8002,-2.2982,-1.384,-3.6504,-1.8358,0.0
1.0,2,0.4,0.5,0.45,-0.1,20.5918,25.5635,38.3523,-12.7888,-17.7605,56.5635,45.6061,-2.303,-0.3943,-2.6882,-1.3471,2.0
1.0,2,0.4,0.5,0.45,-0.1,48.2299,46.2622,55.5393,-9.2771,-7.3094,39.9099,27.4159,-0.2651,-1.1873,-1.4492,-0.7257,0.0
1.0,3,0.4,0.5,0.45,-0.1,67.5942,41.8958,51.2818,-9.386,16.3124,55.9367,34.6704,0.3415,-0.752,-0.4131,-0.2057,3.5
1.0,1,0.4,0.3,0.35,0.1,19.3867,29.5036,22.5636,6.94,-3.1769,44.6624,28.1446,-0.4293,-1.3357,-1.7593,-0.8815,0.0
1.0,1,0.6,0.4,0.5,0.2,33.6669,59.2882,28.8783,30.4099,4.7886,33.3282,20.4551,-1.9817,-1.2439,-3.201,-1.6087,0.0
1.0,2,0.4,0.4,0.4,0.0,26.3718,40.7561,31.7841,8.972,-5.4123,34.1951,16.6423,-2.5045,-0.7021,-3.189,-1.6004,0.0
1.0,3,0.2,0.4,0.3,-0.2,0.0,11.6795,37.9355,-26.256,-37.9355,44.8504,32.0517,-2.4597,-1.0179,-3.4526,-1.7347,0.0
1.0,2,0.2,0.3,0.25,-0.1,26.6809,15.8735,29.1127,-13.2392,-2.4318,46.0134,27.375,-0.3105,-1.8307,-2.1355,-1.0696,0.0
1.0,2,0.4,0.3,0.35,0.1,64.0546,34.0063,23.9815,10.0248,40.0731,46.2797,24.5697,-1.2121,-1.5207,-2.7143,-1.3633,0.5
1.0,2,0.6,0.3,0.45,0.3,58.1205,53.4282,22.8174,30.6108,35.3031,42.7067,24.3282,-1.9845,-0.9864,-2.9514,-1.4822,0.0
1.0,1,0.6,0.5,0.55,0.1,31.8923,53.4545,42.7859,10.6686,-10.8936,44.5671,30.4576,-1.9969,-0.3162,-2.3068,-1.1555,1.5
